,Li,Be,B,C,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,W,Re,Ir,Pt,Au,Tl,Pb,Bi,Th
Pd,4.38728,4.20484,4.30158,3.82916,4.42283,4.25022,3.65554,4.09211,3.82114,4.584,4.37613,2.96997,2.74643,2.5687,2.34129,2.6453,2.1939,2.13112,2.05197,2.54627,2.23419,3.03126,3.56833,4.63686,4.32765,3.02732,2.75095,2.50892,2.41317,0.89007,1.22309,0.0,2.66353,2.27324,3.01841,3.06036,3.63237,3.65325,4.80116,4.46298,4.23081,4.24289,4.29841,4.31287,4.4675,4.32001,4.17298,4.26168,4.2473,4.24372,4.23421,4.22506,4.26266,4.13583,2.66775,2.71519,2.64554,1.12886,0.38664,2.34847,3.03927,3.04118,3.09422,3.59176
Ag,4.11644,3.85302,4.3515,3.55874,4.03782,3.86908,2.99567,3.74445,3.65776,4.2681,3.90041,2.87209,2.67883,2.52477,2.06216,2.558,1.93556,1.78383,1.71014,0.28888,1.54252,2.79755,3.35312,4.395,4.18764,2.90627,2.73336,2.43255,2.12432,2.75817,2.90016,2.66353,0.0,1.6546,2.63403,2.71166,3.45482,3.52681,4.59648,4.31884,4.11399,4.11885,4.18585,4.19573,4.35357,4.19004,4.08453,4.17586,4.16765,4.15437,4.15221,4.14259,4.10054,4.05973,2.64853,2.4975,2.80796,2.84175,2.74438,0.88839,2.74402,2.78953,2.8927,3.41361
Cd,3.7842,3.78632,4.20035,3.43012,3.80642,3.68362,2.94626,3.60061,3.09542,3.98976,3.83439,2.27399,2.08394,1.97517,1.6228,2.01035,1.33762,1.20594,1.07656,1.57888,0.21831,2.10797,2.95996,4.05548,3.85614,2.3136,2.22011,2.00855,2.02891,2.58425,2.90408,2.27324,1.6546,0.0,2.08917,2.15096,2.90801,2.93438,4.2406,3.92041,3.67721,3.69596,3.75704,3.77802,4.03764,3.76669,3.65445,3.76323,3.76095,3.75294,3.75319,3.75039,3.74379,3.66793,2.33235,2.61321,2.59075,2.8302,2.41032,1.54078,2.04887,2.12832,2.1354,3.05838
In,3.25366,3.31051,3.5136,2.90081,3.25933,3.18312,2.14947,2.9557,2.25126,3.41593,3.26624,3.07752,2.93517,2.84179,2.61861,2.67777,2.44186,2.38279,2.27027,2.58984,2.11401,0.26827,2.08897,3.47282,3.23588,3.09448,3.00384,2.86279,2.8693,3.2942,3.46916,3.01841,2.63403,2.08917,0.0,0.41967,2.08366,2.11209,3.66031,3.34473,3.10045,3.08099,3.20124,3.22889,3.385,3.19091,3.1037,3.22031,3.21506,3.22082,3.22094,3.21392,3.13972,3.10767,3.10396,3.30449,3.26061,3.44709,3.1206,2.52539,0.4023,0.4703,0.54022,2.31199
Sn,3.37294,3.43115,3.4525,2.87222,3.36922,3.2825,2.21999,2.94053,2.10844,3.52473,3.34247,3.17322,3.04135,2.94915,2.73907,2.60249,2.54937,2.49965,2.3529,2.6851,2.19144,0.45375,2.04906,3.57456,3.30176,3.18915,3.11961,2.96747,2.97919,3.38384,3.55623,3.06036,2.71166,2.15096,0.41967,0.0,2.05596,2.07637,3.76187,3.43742,3.20966,3.15512,3.30426,3.33384,3.36541,3.26805,3.19417,3.31733,3.31118,3.31131,3.31092,3.30538,3.19324,3.20715,3.19812,3.40394,3.37143,3.51396,3.16388,2.59586,0.64219,0.34098,0.42753,2.40847
Sb,3.95572,3.9721,2.87453,3.36756,3.98691,3.87396,3.02954,2.17008,2.93917,4.13139,3.97799,3.72238,3.60161,3.52332,3.35963,3.37801,3.20209,3.15781,3.06462,3.41553,2.93592,2.06976,0.49088,4.17259,3.92464,3.74384,3.67774,3.53394,3.55731,3.88855,4.09066,3.63237,3.45482,2.90801,2.08366,2.05596,0.0,0.24489,4.33821,4.01016,3.78045,3.76616,3.85982,3.88345,4.01492,3.84827,3.75708,3.85799,3.85012,3.84901,3.84704,3.84121,3.80977,3.75516,3.71734,3.91133,3.85861,4.03232,3.71771,3.33707,2.06627,2.0223,2.01624,3.14508
Te,4.03098,4.04255,2.86708,3.42707,4.06695,3.94467,3.07916,2.21735,2.93932,4.21191,4.07037,3.79145,3.66022,3.57293,3.41487,3.41705,3.24028,3.19045,3.09157,3.47828,2.96038,2.08064,0.57396,4.2492,3.99146,3.81745,3.72868,3.59339,3.61166,3.92452,4.0958,3.65325,3.52681,2.93438,2.11209,2.07637,0.24489,0.0,4.41376,4.08618,3.85078,3.83644,3.92684,3.95043,4.08143,3.91805,3.82172,3.92676,3.92018,3.91651,3.91451,3.91087,3.87894,3.82923,3.77578,3.95935,3.87836,4.05033,3.72933,3.36925,2.09837,2.04163,2.02597,3.23772
Cs,1.39496,3.77709,4.38999,4.02095,1.3746,3.45972,3.28186,3.91926,3.36761,0.66533,3.20003,3.38031,3.53189,3.68676,3.81745,3.73719,3.94995,4.08876,4.14733,4.60081,4.30108,3.69396,4.32418,0.44108,3.08595,3.28089,3.55497,3.76965,4.05642,4.65842,4.96955,4.80116,4.59648,4.2406,3.66031,3.76187,4.33821,4.41376,0.0,2.94938,3.10619,3.06941,3.13634,3.11221,3.17752,3.09821,3.25234,3.21544,3.23851,3.26339,3.28229,3.29595,3.17773,3.31526,3.90982,4.37192,4.46716,4.86147,4.79283,4.61858,3.71082,3.78997,3.80399,2.49221
Ba,2.93063,1.82622,4.01068,3.44712,2.96,1.33045,2.87274,3.5312,2.99199,2.88247,1.00068,3.01582,3.13737,3.27707,3.41862,3.44965,3.54938,3.6914,3.76819,4.30232,3.96588,3.36539,3.9983,2.8783,0.59633,2.95526,3.17923,3.3662,3.65257,4.29341,4.64509,4.46298,4.31884,3.92041,3.34473,3.43742,4.01016,4.08618,2.94938,0.0,2.87544,2.86265,2.88374,2.87746,3.03611,2.86679,2.95827,2.91941,2.93045,2.94767,2.95784,2.96218,2.91545,2.97804,3.47364,3.94758,4.03476,4.50555,4.44962,4.30902,3.35142,3.44327,3.45881,2.17357
La,2.89703,3.20488,3.90443,3.21099,2.9534,3.02017,2.70622,3.39405,2.89284,2.96827,3.01098,2.89319,2.96775,3.07883,3.19572,3.37,3.30535,3.42989,3.51707,4.07905,3.71047,3.11298,3.78263,2.98682,2.91054,2.86234,3.01935,3.16745,3.42601,4.06378,4.42364,4.23081,4.11399,3.67721,3.10045,3.20966,3.78045,3.85078,3.10619,2.87544,0.0,0.35631,0.22834,0.24499,1.31976,0.33817,0.50479,0.37377,0.40975,0.48134,0.51232,0.51734,0.60783,0.5193,3.27432,3.72074,3.78574,4.2859,4.21949,4.07238,3.07599,3.19076,3.20697,2.11036
Ce,2.91514,3.26082,3.82304,3.2462,2.9487,3.04366,2.70727,3.3666,2.78402,2.94506,2.97872,2.92849,3.01457,3.12578,3.24455,3.25365,3.34847,3.47981,3.54077,4.09595,3.73809,3.09258,3.74762,2.95504,2.86401,2.89007,3.06521,3.21426,3.47624,4.11089,4.44941,4.24289,4.11885,3.69596,3.08099,3.15512,3.76616,3.83644,3.06941,2.86265,0.35631,0.0,0.42664,0.45542,0.99205,0.2644,0.63178,0.55129,0.57966,0.62967,0.65847,0.66592,0.40629,0.67877,3.32541,3.77676,3.84906,4.31251,4.23487,4.08078,3.0853,3.15917,3.17957,2.10234
Pr,2.88492,3.17428,3.87949,3.17156,2.94273,2.99044,2.67036,3.36449,2.86177,2.98046,3.0037,2.88547,2.96875,3.0891,3.2293,3.40731,3.34727,3.47977,3.57702,4.15031,3.78792,3.21106,3.86188,3.00407,2.90626,2.86101,3.02365,3.19288,3.45666,4.10606,4.47093,4.29841,4.18585,3.75704,3.20124,3.30426,3.85982,3.92684,3.13634,2.88374,0.22834,0.42664,0.0,0.14598,1.3157,0.26422,0.48164,0.2553,0.30179,0.36442,0.39881,0.40847,0.54197,0.50169,3.28458,3.73537,3.8101,4.32494,4.27749,4.14173,3.17371,3.28546,3.30149,2.13999
Nd,2.89852,3.20034,3.89263,3.18017,2.95653,3.00993,2.69849,3.38237,2.90485,2.97286,3.0095,2.89773,2.98198,3.09996,3.23888,3.42326,3.36314,3.49443,3.59163,4.15997,3.80889,3.24297,3.88236,2.99289,2.91299,2.86762,3.02878,3.19349,3.45555,4.10979,4.4734,4.31287,4.19573,3.77802,3.22889,3.33384,3.88345,3.95043,3.11221,2.87746,0.24499,0.45542,0.14598,0.0,1.31219,0.32443,0.48215,0.28261,0.34808,0.36762,0.41054,0.44601,0.61933,0.53594,3.28443,3.7279,3.80844,4.32616,4.28567,4.14959,3.20507,3.31619,3.33202,2.11964
Sm,3.20248,3.56959,3.65955,3.42098,3.18244,3.31328,2.94298,3.44716,2.79048,3.11331,3.09543,3.20235,3.30763,3.40197,3.54322,3.14975,3.65509,3.80545,3.80942,4.35197,4.08989,3.40326,3.91903,3.09773,2.94272,3.14602,3.32189,3.4617,3.71339,4.36034,4.62407,4.4675,4.35357,4.03764,3.385,3.36541,4.01492,4.08143,3.17752,3.03611,1.31976,0.99205,1.3157,1.31219,0.0,1.10466,1.36357,1.33886,1.35676,1.35564,1.36909,1.38813,0.95004,1.42783,3.53941,3.95949,4.06275,4.47823,4.43567,4.29937,3.46623,3.4313,3.46518,2.29683
Eu,2.88992,3.22208,3.86203,3.19664,2.93018,3.00496,2.67355,3.35336,2.77819,2.9529,2.97445,2.91248,3.01147,3.13959,3.27928,3.34351,3.39243,3.52995,3.60972,4.16762,3.80685,3.20143,3.84453,2.97056,2.87881,2.88,3.07584,3.24471,3.51467,4.15697,4.52155,4.32001,4.19004,3.76669,3.19091,3.26805,3.84827,3.91805,3.09821,2.86679,0.33817,0.2644,0.26422,0.32443,1.10466,0.0,0.56863,0.41703,0.44986,0.49993,0.53244,0.5414,0.37119,0.62719,3.34404,3.80577,3.89403,4.37142,4.307,4.16126,3.17852,3.26159,3.27973,2.13679
Gd,2.95337,3.19049,3.85103,3.1073,3.00891,3.00309,2.68902,3.35258,2.88546,3.07913,3.05229,2.87302,2.92854,3.01941,3.14108,3.32739,3.24865,3.37046,3.4547,4.0433,3.68123,3.11418,3.75216,3.10602,2.95538,2.85797,2.97736,3.09746,3.34239,3.99253,4.35366,4.17298,4.08453,3.65445,3.1037,3.19417,3.75708,3.82172,3.25234,2.95827,0.50479,0.63178,0.48164,0.48215,1.36357,0.56863,0.0,0.36442,0.41112,0.36988,0.362,0.42506,0.70804,0.43976,3.18027,3.60717,3.67475,4.20064,4.14777,4.01715,3.06867,3.18037,3.19721,2.10617
Tb,2.92213,3.14402,3.81549,3.06141,2.98703,2.99219,2.67042,3.3351,2.88486,3.04614,3.02155,2.85769,2.92833,3.0351,3.17933,3.38582,3.30463,3.43828,3.53803,4.13319,3.78759,3.23161,3.84939,3.0738,2.92344,2.84097,2.97452,3.12206,3.37964,4.0475,4.4167,4.26168,4.17586,3.76323,3.22031,3.31733,3.85799,3.92676,3.21544,2.91941,0.37377,0.55129,0.2553,0.28261,1.33886,0.41703,0.36442,0.0,0.09755,0.16741,0.17564,0.18762,0.5949,0.31512,3.1906,3.6311,3.70746,4.25837,4.23156,4.11713,3.18595,3.29666,3.31512,2.11334
Dy,2.92871,3.1233,3.79213,3.02751,2.9956,2.9908,2.66067,3.32173,2.87507,3.06322,3.02438,2.85006,2.91605,3.02044,3.1649,3.38066,3.289,3.42342,3.52465,4.12348,3.7836,3.22601,3.83962,3.09279,2.92734,2.83745,2.96375,3.10689,3.35872,4.03059,4.39982,4.2473,4.16765,3.76095,3.21506,3.31118,3.85012,3.92018,3.23851,2.93045,0.40975,0.57966,0.30179,0.34808,1.35676,0.44986,0.41112,0.09755,0.0,0.19766,0.18605,0.1408,0.591,0.26802,3.17121,3.60512,3.68327,4.24067,4.21767,4.10426,3.18059,3.28606,3.30851,2.11858
Ho,2.9367,3.12819,3.78516,2.9963,3.00398,2.98043,2.65515,3.30977,2.87776,3.08043,3.02885,2.85345,2.918,3.01796,3.15907,3.37271,3.28722,3.4185,3.51841,4.11046,3.77503,3.23262,3.83541,3.11342,2.94027,2.84247,2.96474,3.09962,3.34828,4.02146,4.39279,4.24372,4.15437,3.75294,3.22082,3.31131,3.84901,3.91651,3.26339,2.94767,0.48134,0.62967,0.36442,0.36762,1.35564,0.49993,0.36988,0.16741,0.19766,0.0,0.06236,0.15249,0.63672,0.30799,3.16371,3.5903,3.67695,4.22912,4.20773,4.0892,3.18502,3.28951,3.3107,2.1069
Er,2.94485,3.11954,3.7715,2.98201,3.01274,2.98131,2.65328,3.30462,2.87881,3.09553,3.03467,2.84924,2.90983,3.00676,3.14912,3.36884,3.27648,3.40815,3.50866,4.10645,3.7736,3.23238,3.83174,3.12935,2.94434,2.8409,2.95504,3.08727,3.33331,4.00948,4.37896,4.23421,4.15221,3.75319,3.22094,3.31092,3.84704,3.91451,3.28229,2.95784,0.51232,0.65847,0.39881,0.41054,1.36909,0.53244,0.362,0.17564,0.18605,0.06236,0.0,0.11404,0.64755,0.28058,3.14644,3.56991,3.6545,4.21448,4.19716,4.08239,3.18441,3.28856,3.31085,2.11057
Tm,2.94317,3.09475,3.7565,2.96065,3.01181,2.97651,2.6395,3.29425,2.87063,3.10249,3.03,2.84199,2.89997,2.99678,3.13835,3.3683,3.2644,3.39707,3.49984,4.09597,3.76893,3.22563,3.82497,3.1388,2.94314,2.83664,2.94707,3.07859,3.32143,3.99986,4.36956,4.22506,4.14259,3.75039,3.21392,3.30538,3.84121,3.91087,3.29595,2.96218,0.51734,0.66592,0.40847,0.44601,1.38813,0.5414,0.42506,0.18762,0.1408,0.15249,0.11404,0.0,0.62847,0.23053,3.13446,3.55629,3.64094,4.20514,4.19094,4.07414,3.17679,3.28027,3.3053,2.12001
Yb,2.91165,3.15636,3.70608,3.12387,2.93026,2.97179,2.58205,3.2607,2.67052,2.99504,2.93544,2.9174,3.00018,3.11092,3.24141,3.23052,3.34574,3.4843,3.55142,4.08012,3.77643,3.15465,3.77528,3.02523,2.85675,2.89727,3.05753,3.21528,3.45543,4.11076,4.43797,4.26266,4.10054,3.74379,3.13972,3.19324,3.80977,3.87894,3.17773,2.91545,0.60783,0.40629,0.54197,0.61933,0.95004,0.37119,0.70804,0.5949,0.591,0.63672,0.64755,0.62847,0.0,0.70388,3.30114,3.72747,3.82876,4.29048,4.24599,4.06223,3.15345,3.20622,3.23961,2.15296
Lu,2.96507,3.10545,3.75538,2.95926,3.03567,3.00147,2.65964,3.3082,2.90878,3.12405,3.04792,2.83613,2.87759,2.95836,3.07665,3.32527,3.19717,3.32124,3.41573,4.01016,3.68589,3.12128,3.73434,3.15982,2.95895,2.83113,2.92168,3.02246,3.25439,3.92738,4.29433,4.13583,4.05973,3.66793,3.10767,3.20715,3.75516,3.82923,3.31526,2.97804,0.5193,0.67877,0.50169,0.53594,1.42783,0.62719,0.43976,0.31512,0.26802,0.30799,0.28058,0.23053,0.70388,0.0,3.08712,3.49762,3.5719,4.13759,4.11083,3.98942,3.06896,3.17817,3.20578,2.09704
Ta,3.44541,3.17729,3.45766,2.74625,3.52251,3.30673,2.82146,3.32473,3.22833,3.67796,3.41846,1.20052,0.90089,0.6424,0.7961,1.78984,1.08206,1.28116,1.45913,2.49241,2.27346,3.13387,3.60658,3.73533,3.33376,1.30342,0.70734,0.40101,0.70347,2.26943,2.60595,2.66775,2.64853,2.33235,3.10396,3.19812,3.71734,3.77578,3.90982,3.47364,3.27432,3.32541,3.28458,3.28443,3.53941,3.34404,3.18027,3.1906,3.17121,3.16371,3.14644,3.13446,3.30114,3.08712,0.0,0.94918,1.04991,2.39649,2.54711,2.32385,3.09561,3.17406,3.23373,2.40545
W,3.87752,3.37579,3.49847,2.89563,3.92619,3.63109,3.04,3.50398,3.62011,4.11275,3.75926,2.0122,1.6833,1.36972,1.25921,2.25027,1.40801,1.46965,1.61126,2.3039,2.50058,3.36856,3.7374,4.19332,3.7534,2.11979,1.48219,1.12629,0.65484,2.24707,2.34843,2.71519,2.4975,2.61321,3.30449,3.40394,3.91133,3.95935,4.37192,3.94758,3.72074,3.77676,3.73537,3.7279,3.95949,3.80577,3.60717,3.6311,3.60512,3.5903,3.56991,3.55629,3.72747,3.49762,0.94918,0.0,0.74665,2.19829,2.53515,2.03189,3.35609,3.3878,3.49186,2.86302
Re,3.99514,3.54665,3.49143,3.14603,4.07919,3.80038,3.25072,3.64498,3.68111,4.24441,3.97312,2.12792,1.75688,1.39682,1.34305,2.26392,1.39162,1.43876,1.54939,2.57838,2.47914,3.27901,3.69886,4.29985,3.83351,2.24249,1.50011,1.20232,0.93373,2.26984,2.27087,2.64554,2.80796,2.59075,3.26061,3.37143,3.85861,3.87836,4.46716,4.03476,3.78574,3.84906,3.8101,3.80844,4.06275,3.89403,3.67475,3.70746,3.68327,3.67695,3.6545,3.64094,3.82876,3.5719,1.04991,0.74665,0.0,2.18996,2.4565,2.22452,3.29069,3.34366,3.41994,2.99625
Ir,4.43297,4.05671,4.02371,3.68402,4.4628,4.22384,3.60779,4.01787,3.98494,4.63048,4.34668,2.97223,2.71115,2.48086,2.31232,2.79296,2.26094,2.23097,2.2298,2.6824,2.73817,3.49008,3.88506,4.69751,4.3152,3.04682,2.60229,2.37408,2.15011,0.6511,0.46877,1.12886,2.84175,2.8302,3.44709,3.51396,4.03232,4.05033,4.86147,4.50555,4.2859,4.31251,4.32494,4.32616,4.47823,4.37142,4.20064,4.25837,4.24067,4.22912,4.21448,4.20514,4.29048,4.13759,2.39649,2.19829,2.18996,0.0,0.80556,2.41978,3.51391,3.51917,3.60035,3.58238
Pt,4.3849,4.15743,4.168,3.75856,4.42505,4.22908,3.62686,4.03979,3.81666,4.58077,4.3635,2.93383,2.69324,2.49353,2.2942,2.62772,2.16584,2.11366,2.05212,2.60755,2.35651,3.13427,3.62976,4.63255,4.29728,2.99746,2.65888,2.42368,2.29956,0.6958,0.92601,0.38664,2.74438,2.41032,3.1206,3.16388,3.71771,3.72933,4.79283,4.44962,4.21949,4.23487,4.27749,4.28567,4.43567,4.307,4.14777,4.23156,4.21767,4.20773,4.19716,4.19094,4.24599,4.11083,2.54711,2.53515,2.4565,0.80556,0.0,2.35454,3.15629,3.14917,3.20787,3.55388
Au,4.13766,3.79173,4.0274,3.47443,4.09953,3.87743,3.02795,3.66628,3.5509,4.31888,3.98105,2.74979,2.4676,2.22438,1.7647,2.29828,1.5518,1.36026,1.24225,0.6775,1.3897,2.64142,3.20373,4.42407,4.12953,2.81651,2.45564,2.1239,1.70964,2.44524,2.41785,2.34847,0.88839,1.54078,2.52539,2.59586,3.33707,3.36925,4.61858,4.30902,4.07238,4.08078,4.14173,4.14959,4.29937,4.16126,4.01715,4.11713,4.10426,4.0892,4.08239,4.07414,4.06223,3.98942,2.32385,2.03189,2.22452,2.41978,2.35454,0.0,2.65711,2.644,2.76383,3.34171
Tl,3.23721,3.30475,3.63924,2.85009,3.27206,3.17364,2.20539,3.00319,2.29877,3.45407,3.31553,3.03446,2.89881,2.82194,2.61198,2.78511,2.43725,2.37885,2.29374,2.69274,2.08041,0.38102,2.14085,3.5119,3.2769,3.05784,2.99421,2.85422,2.90321,3.30815,3.55995,3.03927,2.74402,2.04887,0.4023,0.64219,2.06627,2.09837,3.71082,3.35142,3.07599,3.0853,3.17371,3.20507,3.46623,3.17852,3.06867,3.18595,3.18059,3.18502,3.18441,3.17679,3.15345,3.06896,3.09561,3.35609,3.29069,3.51391,3.15629,2.65711,0.0,0.53803,0.49471,2.33209
Pb,3.37276,3.41634,3.50228,2.8047,3.39595,3.29069,2.2643,2.96464,2.12846,3.55644,3.39329,3.1397,3.00132,2.91355,2.7128,2.6826,2.51673,2.46557,2.33846,2.75113,2.17294,0.41747,2.06264,3.60299,3.33426,3.16371,3.09674,2.93898,2.95673,3.35474,3.56702,3.04118,2.78953,2.12832,0.4703,0.34098,2.0223,2.04163,3.78997,3.44327,3.19076,3.15917,3.28546,3.31619,3.4313,3.26159,3.18037,3.29666,3.28606,3.28951,3.28856,3.28027,3.20622,3.17817,3.17406,3.3878,3.34366,3.51917,3.14917,2.644,0.53803,0.0,0.25634,2.41557
Bi,3.40128,3.49496,3.56558,2.85884,3.43306,3.34212,2.3146,3.00269,2.12853,3.58288,3.44879,3.17118,3.0426,2.96366,2.7752,2.73284,2.57603,2.52577,2.39833,2.85376,2.1902,0.43222,2.09204,3.62245,3.36868,3.1897,3.14117,2.99689,3.04926,3.42214,3.65352,3.09422,2.8927,2.1354,0.54022,0.42753,2.01624,2.02597,3.80399,3.45881,3.20697,3.17957,3.30149,3.33202,3.46518,3.27973,3.19721,3.31512,3.30851,3.3107,3.31085,3.3053,3.23961,3.20578,3.23373,3.49186,3.41994,3.60035,3.20787,2.76383,0.49471,0.25634,0.0,2.46535
Th,2.27678,2.54496,3.13815,2.29207,2.32362,2.34902,1.86111,2.66892,2.16296,2.32377,2.25034,2.1362,2.19647,2.27889,2.38431,2.51049,2.54334,2.68918,2.75959,3.37457,3.08784,2.36163,3.07435,2.35211,2.1536,2.08938,2.21661,2.29842,2.56412,3.38234,3.75512,3.59176,3.41361,3.05838,2.31199,2.40847,3.14508,3.23772,2.49221,2.17357,2.11036,2.10234,2.13999,2.11964,2.29683,2.13679,2.10617,2.11334,2.11858,2.1069,2.11057,2.12001,2.15296,2.09704,2.40545,2.86302,2.99625,3.58238,3.55388,3.34171,2.33209,2.41557,2.46535,0.0
